WaterwayCode,WaterwayName,TrafficName,CommodityCode,CommodityName,In/Out/Thru,ShortTons,CompletedYear
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,12340463,2013
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,13050028,2014
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,10082615,2015
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,9541096,2016
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,12271863,2017
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,14285346,2018
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,14330397,2019
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,10798085,2020
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,14944139,2021
3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,12678054,2022
