WaterwayCode,WaterwayName,TrafficName,CommodityCode,CommodityName,In/Out/Thru,ShortTons,CompletedYear
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4226860,2013
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5486365,2014
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4517957,2015
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5893992,2016
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5530277,2017
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5660455,2018
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5576876,2019
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4128425,2020
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4752603,2021
3845,"Presque Isle, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4494725,2022
