,WaterwayCode,WaterwayName,TrafficName,CommodityCode,CommodityName,In/Out/Thru,ShortTons,CompletedYear
247367,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,2183915,2013
247368,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3558445,2014
247369,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,2089778,2015
247370,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,1486694,2016
247371,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3361612,2017
247372,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3162848,2018
247373,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3825927,2019
247374,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,2877042,2020
247375,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,5147255,2021
247376,3204,"Toledo-Lucas County Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,5452065,2022
248350,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3887912,2013
248351,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,4337914,2014
248352,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,4375974,2015
248353,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,4384862,2016
248354,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,4623780,2017
248355,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,4336737,2018
248356,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,4194006,2019
248357,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3081631,2020
248358,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3581994,2021
248359,3217,"Cleveland-Cuyahoga Port, OH",Lakewise,4410,Iron Ore,Inbound Receiving,2407580,2022
248669,3219,"Ashtabula Port Authority, OH",Lakewise,4410,Iron Ore,Inbound Receiving,560249,2013
248670,3219,"Ashtabula Port Authority, OH",Lakewise,4410,Iron Ore,Inbound Receiving,338935,2016
248671,3219,"Ashtabula Port Authority, OH",Lakewise,4410,Iron Ore,Inbound Receiving,1468361,2017
248672,3219,"Ashtabula Port Authority, OH",Lakewise,4410,Iron Ore,Inbound Receiving,1221628,2018
248673,3219,"Ashtabula Port Authority, OH",Lakewise,4410,Iron Ore,Inbound Receiving,1804134,2019
248674,3219,"Ashtabula Port Authority, OH",Lakewise,4410,Iron Ore,Inbound Receiving,1266243,2020
248675,3219,"Ashtabula Port Authority, OH",Lakewise,4410,Iron Ore,Inbound Receiving,56117,2021
248752,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,4179457,2013
248753,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3368812,2014
248754,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,2962078,2015
248755,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3949089,2016
248756,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3469212,2017
248757,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3314250,2018
248758,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,3610531,2019
248759,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,5218178,2020
248760,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,4077361,2021
248761,3220,"Conneaut Harbor, OH",Lakewise,4410,Iron Ore,Inbound Receiving,2671491,2022
251336,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,3199132,2013
251337,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,3536140,2014
251338,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,3347305,2015
251339,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,3628393,2016
251340,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,3368004,2017
251341,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,4058127,2018
251342,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,3041185,2019
251343,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,2138961,2020
251344,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,3090046,2021
251345,3315,"Rouge River, MI",Lakewise,4410,Iron Ore,Inbound Receiving,2517227,2022
260385,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8117288,2013
260386,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8661390,2014
260387,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,7304183,2015
260388,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,7603234,2016
260389,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,7520826,2017
260390,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,7661199,2018
260391,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,7265563,2019
260392,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,5803189,2020
260393,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8121930,2021
260394,3736,"Gary, IN",Lakewise,4410,Iron Ore,Inbound Receiving,7899681,2022
260580,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8797882,2013
260581,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,9198752,2014
260582,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8236258,2015
260583,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8546091,2016
260584,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8554209,2017
260585,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8600727,2018
260586,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,8336371,2019
260587,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,6550809,2020
260588,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,7403251,2021
260589,3738,"Indiana Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,5364928,2022
261125,3739,"Burns Waterway Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,5705061,2013
261126,3739,"Burns Waterway Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,6005727,2014
261127,3739,"Burns Waterway Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,5484896,2015
261128,3739,"Burns Waterway Harbor, IN",Lakewise,4410,Iron Ore,Inbound Receiving,5476260,2016
