,WaterwayCode,WaterwayName,TrafficName,CommodityCode,CommodityName,In/Out/Thru,ShortTons,CompletedYear
268468,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4226860,2013
268469,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5486365,2014
268470,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4517957,2015
268471,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5893992,2016
268472,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5566441,2017
268473,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5753485,2018
268474,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5611634,2019
268475,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4128425,2020
268476,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,5687034,2021
268477,3841,"Marquette, MI",Lakewise,4410,Iron Ore,Outbound Shipping,4813347,2022
269942,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,12340463,2013
269943,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,13050028,2014
269944,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,10082615,2015
269945,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,9541096,2016
269946,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,12271863,2017
269947,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,14285346,2018
269948,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,14330397,2019
269949,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,10798085,2020
269950,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,14944139,2021
269951,3924,"Duluth-Superior, MN and WI",Lakewise,4410,Iron Ore,Outbound Shipping,12678054,2022
270036,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,16461933,2013
270037,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,13783315,2014
270038,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,14280643,2015
270039,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,15080841,2016
270040,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,14665666,2017
270041,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,13391619,2018
270042,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,13369154,2019
270043,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,11746091,2020
270044,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,11490110,2021
270045,3926,"Two Harbors, MN",Lakewise,4410,Iron Ore,Outbound Shipping,9786061,2022
