WaterwayCode,WaterwayName,In/Out/Thru,VesselTypeName,CompletedYear,Trips
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2014,519
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2015,486
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2016,395
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2017,447
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2018,448
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2019,456
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2020,338
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2021,438
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2022,398
3924,"Duluth-Superior, MN and WI",Outbound Shipping,Self-Propelled dry,2023,400
