WaterwayCode,WaterwayName,In/Out/Thru,VesselTypeName,CompletedYear,Trips
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2014,166
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2015,141
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2016,203
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2017,156
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2018,143
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2019,120
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2020,87
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2021,155
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2022,124
3841,"Marquette, MI",Outbound Shipping,Self-Propelled dry,2023,160
