WaterwayCode,WaterwayName,In/Out/Thru,VesselTypeName,CompletedYear,Trips
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2014,136
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2015,138
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2016,150
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2017,99
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2018,87
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2019,95
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2020,82
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2021,110
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2022,91
3619,"Presque Isle Township, MI",Outbound Shipping,Self-Propelled dry,2023,95
