WaterwayCode,WaterwayName,In/Out/Thru,VesselTypeName,CompletedYear,Trips
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2014,230
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2015,232
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2016,223
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2017,230
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2018,198
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2019,193
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2020,180
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2021,172
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2022,157
3926,"Two Harbors, MN",Outbound Shipping,Self-Propelled dry,2023,179
