,WaterwayCode,WaterwayName,In/Out/Thru,CompletedYear,Trips
0,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2014,145
1,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2015,104
2,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2016,69
3,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2017,92
4,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2018,78
5,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2019,92
6,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2020,65
7,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2021,106
8,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2022,114
9,3204,"Toledo-Lucas County Port, OH",Inbound Receiving,2023,126
10,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2014,141
11,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2015,96
12,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2016,79
13,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2017,98
14,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2018,77
15,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2019,83
16,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2020,62
17,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2021,84
18,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2022,91
19,3204,"Toledo-Lucas County Port, OH",Outbound Shipping,2023,92
20,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2014,439
21,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2015,427
22,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2016,345
23,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2017,405
24,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2018,357
25,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2019,345
26,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2020,248
27,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2021,222
28,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2022,201
29,3217,"Cleveland-Cuyahoga Port, OH",Inbound Receiving,2023,304
30,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2014,415
31,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2015,386
32,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2016,318
33,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2017,394
34,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2018,337
35,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2019,324
36,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2020,231
37,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2021,143
38,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2022,123
39,3217,"Cleveland-Cuyahoga Port, OH",Outbound Shipping,2023,221
40,3219,"Ashtabula Port Authority, OH",Inbound Receiving,2014,101
41,3219,"Ashtabula Port Authority, OH",Inbound Receiving,2015,97
42,3219,"Ashtabula Port Authority, OH",Inbound Receiving,2016,49
43,3219,"Ashtabula Port Authority, OH",Inbound Receiving,2017,124
44,3219,"Ashtabula Port Authority, OH",Inbound Receiving,2018,127
45,3219,"Ashtabula Port Authority, OH",Inbound Receiving,2019,137
46,3219,"Ashtabula Port Authority, OH",Inbound Receiving,2020,92
