,WaterwayCode,WaterwayName,Up/Down,CompletedYear,Trips
0,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2014,903
1,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2015,849
2,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2016,750
3,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2017,800
4,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2018,778
5,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2019,764
6,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2020,572
7,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2021,740
8,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2022,624
9,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2023,702
10,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2014,813
11,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2015,739
12,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2016,703
13,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2017,726
14,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2018,702
15,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2019,673
16,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2020,501
17,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2021,487
18,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2022,421
19,3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2023,514
