WaterwayCode,WaterwayName,Up/Down,CompletedYear,Trips
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2014,805
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2015,740
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2016,686
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2017,723
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2018,717
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2019,698
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2020,528
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2021,711
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2022,514
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Downbound/West/South,2023,381
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2014,109
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2015,91
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2016,132
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2017,94
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2018,97
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2019,105
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2020,88
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2021,101
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2022,86
3811,"St. Marys Falls Canal, MI and Sault Ste. Marie, Ontario Ship Canal, CN",Upbound/East/North,2023,77
